timestamp_ms,pos_raw_n,pos_raw_e,pos_raw_d,vel_n,vel_e,vel_d,quat_w,quat_x,quat_y,quat_z
356123,15.5625,47.5,-5.75,3.4296875,-8.48046875,1.7890625,0.8466139713736381,-0.07184057130649739,0.03894161809137242,-0.5258949552903837
356174,15.8125,47.0,-5.625,3.41015625,-8.51953125,1.171875,0.8407849360637226,-0.08880886257515183,0.05951109347819453,-0.5306863612781152
356234,15.9375,46.625,-5.625,3.37109375,-8.578125,0.828125,0.8272347178563799,-0.11816766869106113,0.07574694051942503,-0.5440534684286019
356275,16.125,46.25,-5.5625,3.30078125,-8.640625,0.53125,0.8167668691061128,-0.13672292245246742,0.08005005035554064,-0.554795983764153
356325,16.3125,45.6875,-5.5625,3.1796875,-8.75,0.3515625,0.80413220618305,-0.1596118045594653,0.08313241981261635,-0.5665761284218879
356377,16.5,45.3125,-5.5625,3.1015625,-8.7890625,0.3984375,0.7944273201696829,-0.18002868739890743,0.09036530655842769,-0.5729850154118473
356426,16.6875,44.75,-5.5625,2.94921875,-8.87890625,0.48046875,0.7867366557817316,-0.20038453321939756,0.1054109317300943,-0.5742667928098392
356476,16.8125,44.375,-5.5,2.859375,-8.921875,0.5703125,0.7782525101474044,-0.22528763695181128,0.12747581408124029,-0.5721304971465193
356527,17.0,43.8125,-5.5,2.66015625,-9.01171875,0.62890625,0.7700735496078371,-0.24640644550920132,0.14993743705557422,-0.5690481276894437
356578,17.125,43.5,-5.5,2.48046875,-9.078125,0.6015625,0.7680898464918974,-0.2468031861323893,0.16006958220160528,-0.5687734611041597
356628,17.3125,42.875,-5.4375,2.1796875,-9.1796875,0.48828125,0.7772453993346965,-0.2162846766563921,0.1477706228827784,-0.5720694601275673
356679,17.4375,42.5,-5.4375,2.03125,-9.2109375,0.41015625,0.7907345805230872,-0.16797387615588855,0.11767937253944517,-0.576769310586871
356729,17.5625,41.9375,-5.4375,1.87890625,-9.23828125,0.37109375,0.8013245033112583,-0.11569566942350536,0.0793176061281167,-0.5815607165746025
356779,17.6875,41.5625,-5.4375,1.828125,-9.23046875,0.3515625,0.8063600573747978,-0.07098605304116946,0.04248176519058809,-0.5856196783349101
356830,17.8125,41.0,-5.4375,1.76171875,-9.23828125,0.23046875,0.8061159092989898,-0.03631702627643666,0.012146366771446883,-0.5905026398510697
356870,17.875,40.625,-5.4375,1.73046875,-9.21875,0.140625,0.8038880581072421,-0.013672292245246742,-0.006683553575243385,-0.5945921201208533
356931,18.0,40.0625,-5.4375,1.69921875,-9.171875,0.171875,0.7979979857783746,0.016235847041230506,-0.027100436414685507,-0.6018250068666646
356972,18.0625,39.6875,-5.4375,1.71875,-9.12109375,0.19921875,0.7917722098452712,0.0336924344615009,-0.034546952726828825,-0.608905301065096
357021,18.125,39.3125,-5.4375,1.73828125,-9.078125,0.171875,0.78225043488876,0.04187139500106815,-0.030274361400189215,-0.6208380382702109
357072,18.25,38.75,-5.4375,1.73046875,-9.01953125,0.0703125,0.7741325113681448,0.03537095248268075,-0.011597033600878933,-0.6319467757194739
357122,18.3125,38.375,-5.4375,1.69921875,-8.98046875,-0.03125,0.7690664387951293,0.026154362620929593,0.01229895931882687,-0.6385082552568132
357172,18.4375,37.875,-5.5,1.6015625,-8.890625,-0.1484375,0.7693105868709372,0.02218695638904996,0.033112582781456956,-0.6376537369914853
357233,18.5,37.3125,-5.5,1.51171875,-8.80078125,-0.4296875,0.7734000671407208,0.017975402081362345,0.056215094454786826,-0.631153294473098
357277,18.5625,36.9375,-5.5625,1.44921875,-8.7109375,-0.6484375,0.7772148808252205,0.011505478072450942,0.07181005279702139,-0.6250190740684225
357324,18.625,36.625,-5.5625,1.37890625,-8.640625,-0.87109375,0.782738731040376,0.004608294930875576,0.0880458998382519,-0.6160771507919554
357387,18.6875,36.0625,-5.6875,1.26171875,-8.5,-1.19921875,0.7907345805230872,-0.000640888698995941,0.10141300698873867,-0.6037171544541765
357425,18.75,35.75,-5.75,1.16015625,-8.41015625,-1.390625,0.7955870235297708,-0.0054322946867275,0.10879848628192999,-0.5959654530472732
357476,18.75,35.25,-5.8125,1.0390625,-8.26171875,-1.578125,0.8010193182164983,-0.005371257667775506,0.11078218939786981,-0.5882442701498459
357526,18.8125,34.9375,-5.9375,0.96875,-8.1796875,-1.6484375,0.8050172429578539,0.010040589617603077,0.09875789666432691,-0.5848872341074862
357576,18.875,34.4375,-6.0,0.921875,-8.05078125,-1.7109375,0.8062990203558458,0.03598132267220069,0.07620471816156499,-0.5854670857875302
357626,18.875,34.125,-6.125,0.890625,-7.98046875,-1.578125,0.804315317239906,0.06207464827417829,0.05264442884609516,-0.5886104922635579
357681,18.9375,33.625,-6.1875,0.8515625,-7.87109375,-1.30078125,0.8000732444227424,0.08932767723624378,0.02816858424634541,-0.5925473799859615
