t_s,cell,phase,throttle,elevator_trim,axis,amplitude,cmd_aileron,cmd_elevator,cmd_throttle,elev_trimmed,rate_p,rate_q,rate_r,phi,theta,psi,vel_x,vel_y,vel_z,v_rel_airmass,pos_x,pos_y,pos_z,flight_cl
0.270000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.005344,0.450000,0.005344,-0.214815,-0.457127,0.651117,-0.047357,-0.066855,3.245413,-40.597996,0.389697,3.489135,31.680966,-11.381485,0.049781,-179.920283,0.435024
0.275000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.005522,0.450000,0.005522,-0.213198,-0.453682,0.656424,-0.048657,-0.068973,3.248795,-40.591147,0.397181,3.545790,31.683532,-11.585824,0.051749,-179.902696,0.422076
0.280000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.005702,0.450000,0.005702,-0.211925,-0.452952,0.661272,-0.049958,-0.071074,3.252206,-40.585799,0.404650,3.599865,31.714731,-11.790132,0.053753,-179.884832,0.424046
0.285000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.005884,0.450000,0.005884,-0.210732,-0.450198,0.665758,-0.051262,-0.073161,3.255642,-40.581257,0.411988,3.655435,31.729982,-11.994416,0.055795,-179.866694,0.419915
0.290000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.006070,0.450000,0.006070,-0.210063,-0.447709,0.669973,-0.052571,-0.075230,3.259103,-40.577813,0.419261,3.711412,31.709038,-12.198679,0.057873,-179.848277,0.417431
0.295000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.006258,0.450000,0.006258,-0.207777,-0.449677,0.673845,-0.053881,-0.077291,3.262587,-40.576340,0.426549,3.762556,31.721968,-12.402930,0.059987,-179.829592,0.430017
0.300000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.006449,0.450000,0.006449,-0.205851,-0.449772,0.677329,-0.055189,-0.079353,3.266093,-40.575799,0.433720,3.814353,31.717966,-12.607176,0.062138,-179.810649,0.431965
0.305000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.006642,0.450000,0.006642,-0.203387,-0.448598,0.680528,-0.056496,-0.081405,3.269620,-40.576109,0.440718,3.867878,31.696670,-12.811421,0.064324,-179.791444,0.428370
0.310000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.006838,0.450000,0.006838,-0.201057,-0.447338,0.683608,-0.057798,-0.083447,3.273164,-40.577460,0.447635,3.922413,31.778839,-13.015671,0.066545,-179.771968,0.425269
0.315000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.007037,0.450000,0.007037,-0.196971,-0.449241,0.686425,-0.059094,-0.085484,3.276727,-40.580074,0.454656,3.972264,31.822047,-13.219930,0.068801,-179.752231,0.434139
