t_s,cell,phase,throttle,elevator_trim,axis,amplitude,cmd_aileron,cmd_elevator,cmd_throttle,elev_trimmed,rate_p,rate_q,rate_r,phi,theta,psi,vel_x,vel_y,vel_z,v_rel_airmass,pos_x,pos_y,pos_z,flight_cl
0.240000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.004394,0.450000,-0.004394,-0.185123,-0.423747,0.602661,-0.035092,-0.052747,3.223498,-40.723890,0.326126,3.237390,31.177628,-10.160051,0.037244,-899.593747,0.432116
0.245000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.004559,0.450000,-0.004559,-0.184368,-0.421352,0.610126,-0.036183,-0.054750,3.226608,-40.711272,0.333308,3.297682,31.153004,-10.365002,0.038892,-899.577410,0.426636
0.250000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.004726,0.450000,-0.004726,-0.183228,-0.419823,0.617280,-0.037278,-0.056739,3.229756,-40.700184,0.340409,3.357458,31.112706,-10.569893,0.040576,-899.560772,0.426840
0.255000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.004897,0.450000,-0.004897,-0.182089,-0.416801,0.624059,-0.038375,-0.058712,3.232942,-40.690359,0.347353,3.418856,31.120939,-10.774732,0.042296,-899.543831,0.423085
0.260000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.005071,0.450000,-0.005071,-0.180748,-0.415926,0.630608,-0.039474,-0.060670,3.236163,-40.682036,0.354316,3.477784,31.123881,-10.979525,0.044050,-899.526589,0.428144
0.265000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.005248,0.450000,-0.005248,-0.179447,-0.412123,0.636878,-0.040575,-0.062612,3.239418,-40.674599,0.361125,3.539483,31.064548,-11.184279,0.045838,-899.509046,0.422016
0.270000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.005428,0.450000,-0.005428,-0.177915,-0.408957,0.642872,-0.041677,-0.064531,3.242706,-40.668618,0.367800,3.601826,31.071911,-11.388998,0.047660,-899.491193,0.419822
0.275000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.005612,0.450000,-0.005612,-0.176368,-0.405380,0.648769,-0.042780,-0.066429,3.246025,-40.663642,0.374448,3.664687,31.048721,-11.593691,0.049516,-899.473027,0.417047
0.280000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.005798,0.450000,-0.005798,-0.174442,-0.400403,0.654458,-0.043883,-0.068300,3.249375,-40.659640,0.380934,3.729864,31.050959,-11.798360,0.051404,-899.454540,0.410361
0.285000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.005988,0.450000,-0.005988,-0.171958,-0.396833,0.659841,-0.044982,-0.070145,3.252754,-40.656871,0.387340,3.793825,31.049579,-12.003013,0.053325,-899.435731,0.411238
