t_ms,msp,motor,servo0,servo1,gyro_p,gyro_q,gyro_r,acc_x,acc_y,acc_z,qw,qx,qy,qz,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,tgtpos_n,tgtpos_e,tgtpos_d,rcData0,rcData1,rcData2,rcData3
167987.3550,3.0000,1691.0000,1500.0000,1500.0000,-30.0000,17.0000,33.0000,-50.0000,-309.0000,474.0000,0.0798,-0.3525,-0.3039,0.8815,152.1800,-74.3300,-109.1700,-21.6500,-2.3700,9.1000,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1708.0000
168004.1470,3.0000,1693.0000,1500.0000,1500.0000,-19.0000,15.0000,35.0000,-84.0000,-243.0000,291.0000,0.0745,-0.3565,-0.3051,0.8799,151.9000,-74.3500,-109.0400,-21.5600,-2.3500,9.2100,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
168020.8450,3.0000,1693.0000,1500.0000,1500.0000,-25.0000,16.0000,33.0000,-49.0000,-108.0000,266.0000,0.0694,-0.3602,-0.3063,0.8784,151.4800,-74.3900,-108.9000,-21.6300,-2.3400,9.3400,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
168037.4100,3.0000,1693.0000,1500.0000,1500.0000,-22.0000,16.0000,32.0000,-110.0000,-43.0000,174.0000,0.0645,-0.3637,-0.3073,0.8770,150.9700,-74.4300,-108.7600,-21.7700,-2.3300,9.4900,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
168054.0190,3.0000,1693.0000,1500.0000,1500.0000,-20.0000,15.0000,33.0000,-161.0000,-104.0000,578.0000,0.0596,-0.3672,-0.3084,0.8755,150.4700,-74.4800,-108.6100,-21.9000,-2.3100,9.6300,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
168070.6200,3.0000,1693.0000,1500.0000,1500.0000,-19.0000,18.0000,32.0000,-152.0000,-24.0000,915.0000,0.0550,-0.3707,-0.3091,0.8741,150.4700,-74.4800,-108.6100,-21.9000,-2.3100,9.6300,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
168087.2890,3.0000,1693.0000,1500.0000,1500.0000,-10.0000,19.0000,29.0000,-129.0000,63.0000,874.0000,0.0510,-0.3743,-0.3089,0.8729,149.9800,-74.5200,-108.4700,-22.0400,-2.2700,9.7500,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
168103.8100,3.0000,1693.0000,1500.0000,1500.0000,-11.0000,20.0000,25.0000,-177.0000,186.0000,661.0000,0.0476,-0.3778,-0.3084,0.8717,149.5000,-74.5600,-108.3200,-22.1700,-2.2100,9.8700,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
168120.9090,2.0000,1998.0000,1495.0000,1000.0000,-13.0000,22.0000,24.0000,-156.0000,256.0000,512.0000,0.0444,-0.3812,-0.3083,0.8704,148.9900,-74.6000,-108.1700,-22.3000,-2.1700,10.0100,0.0000,0.0000,-0.0000,1985.0000,1980.0000,1500.0000,1999.0000
168137.9640,2.0000,1998.0000,1495.0000,1000.0000,-16.0000,22.0000,21.0000,-254.0000,97.0000,450.0000,0.0414,-0.3851,-0.3083,0.8688,148.4700,-74.6400,-108.0100,-22.4200,-2.1200,10.1500,0.0000,0.0000,-0.0000,1985.0000,1980.0000,1500.0000,1999.0000
